x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
680,525,859.0838143,71.07110702,129.8459915,100.4585493,344.3465344
680,530,862.1484791,70.87671623,129.2008356,100.0387759,344.2594321
680,535,865.231183,70.68874527,128.5714084,99.63007683,344.1944055
680,540,868.3317338,70.5063441,127.9522178,99.22928093,344.1461281
680,545,871.4499412,70.32993767,127.346488,98.83821286,344.1176046
681.2716525,-547.9984655,874.3188107,70.14029989,126.8044781,98.47238899,344.0813121
681.2716525,-518.1242191,855.9110765,71.25705857,130.5596766,100.9083676,344.4621267
681.2716525,518.1242191,855.9110765,71.25705857,130.5596766,100.9083676,344.4621267
681.2716525,547.9984655,874.3188107,70.14029989,126.8044781,98.47238899,344.0813121
683.6811819,-551.4189843,878.3409672,69.8637713,126.0565625,97.96016688,344.0315358
683.6811819,-516.6764278,856.9565272,71.14338515,130.3857714,100.7645783,344.4314265
683.6811819,516.6764278,856.9565272,71.14338515,130.3857714,100.7645783,344.4314265
683.6811819,551.4189843,878.3409672,69.8637713,126.0565625,97.96016688,344.0315358
685,-550,878.4787988,69.82166831,126.029497,97.92558268,344.0014278
685,-545,875.35707,69.98863291,126.6139248,98.30127884,344.003612
685,-540,872.2528303,70.16155807,127.2122396,98.68689885,344.0258435
685,-535,869.1662672,70.34061123,127.8248449,99.08272808,344.0686358
685,-530,866.0975696,70.52567626,128.4521594,99.48891785,344.1322789
685,-525,863.046928,70.71643606,129.0883813,99.9024087,344.211709
685,-520,860.0145348,70.91379916,129.7409043,100.3273517,344.3138868
685,520,860.0145348,70.91379916,129.7409043,100.3273517,344.3138868
685,525,863.046928,70.71643606,129.0883813,99.9024087,344.211709
685,530,866.0975696,70.52567626,128.4521594,99.48891785,344.1322789
685,535,869.1662672,70.34061123,127.8248449,99.08272808,344.0686358
685,540,872.2528303,70.16155807,127.2122396,98.68689885,344.0258435
685,545,875.35707,69.98863291,126.6139248,98.30127884,344.003612
685,550,878.4787988,69.82166831,126.029497,97.92558268,344.0014278
686.0907113,-554.8093731,882.3456832,69.59394797,125.3215838,97.4577659,343.9946497
686.0907113,-515.2286364,858.0099136,71.03011771,130.2103211,100.6202194,344.4013636
686.0907113,515.2286364,858.0099136,71.03011771,130.2103211,100.6202194,344.4013636
686.0907113,554.8093731,882.3456832,69.59394797,125.3215838,97.4577659,343.9946497
688.5002408,-558.1701563,886.3331794,69.33018197,124.6104898,96.9703359,343.9792859
688.5002408,-513.7808451,859.0712068,70.91745498,130.0340603,100.4757577,344.3727105
688.5002408,513.7808451,859.0712068,70.91745498,130.0340603,100.4757577,344.3727105
688.5002408,558.1701563,886.3331794,69.33018197,124.6104898,96.9703359,343.9792859
690,-560,888.6506625,69.17654368,124.2030367,96.68979021,343.9749303
690,-555,885.5083286,69.32961315,124.746187,97.03790009,343.9269892
690,-550,882.3831367,69.4880121,125.3037552,97.39588365,343.8989424
690,-545,879.2752698,69.65197144,125.8846753,97.76832338,343.8984684
690,-540,876.184912,69.82144521,126.4756033,98.14852427,343.9144391
690,-535,873.1122494,69.99697695,127.0806785,98.53882775,343.9507965
690,-530,870.0574694,70.17859849,127.7003157,98.93945709,344.0079503
690,-525,867.020761,70.36630895,128.3349456,99.3506273,344.0862969
690,-520,864.0023148,70.56015739,128.9802785,99.77021794,344.1823383
690,-515,861.0023229,70.76054532,129.6391499,100.1998476,344.2988121
690,515,861.0023229,70.76054532,129.6391499,100.1998476,344.2988121
690,520,864.0023148,70.56015739,128.9802785,99.77021794,344.1823383
690,525,867.020761,70.36630895,128.3349456,99.3506273,344.0862969
690,530,870.0574694,70.17859849,127.7003157,98.93945709,344.0079503
690,535,873.1122494,69.99697695,127.0806785,98.53882775,343.9507965
690,540,876.184912,69.82144521,126.4756033,98.14852427,343.9144391
690,545,879.2752698,69.65197144,125.8846753,97.76832338,343.8984684
690,550,882.3831367,69.4880121,125.3037552,97.39588365,343.8989424
690,555,885.5083286,69.32961315,124.746187,97.03790009,343.9269892
690,560,888.6506625,69.17654368,124.2030367,96.68979021,343.9749303
690.9097702,-561.5018418,890.3036723,69.07263263,123.9169261,96.49477934,343.9803223
690.9097702,-512.3330537,860.1403772,70.80524962,129.8575584,100.331404,344.3458131
690.9097702,512.3330537,860.1403772,70.80524962,129.8575584,100.331404,344.3458131
690.9097702,561.5018418,890.3036723,69.07263263,123.9169261,96.49477934,343.9803223
693.3192996,-564.8049216,894.2573738,68.82068905,123.2359565,96.02832279,343.993176
693.3192996,-510.8852624,861.2173956,70.69377159,129.6815876,100.1876796,344.3215347
693.3192996,510.8852624,861.2173956,70.69377159,129.6815876,100.1876796,344.3215347
693.3192996,564.8049216,894.2573738,68.82068905,123.2359565,96.02832279,343.993176
695,-565,895.6840961,68.70747271,122.9847137,95.8460932,343.9746251
695,-560,892.5385146,68.85277206,123.5100007,96.18138637,343.9046607
695,-555,889.4099167,69.00296875,124.0441868,96.52357777,343.8495969
695,-550,886.2984825,69.15817629,124.5923057,96.875241,343.8137615
695,-545,883.2043931,69.31897087,125.1543427,97.23665679,343.7976589
695,-540,880.1278316,69.48560072,125.7412972,97.61344894,343.8107043
695,-535,877.0689825,69.65776393,126.3398897,97.9988268,343.8416101
695,-530,874.0280316,69.83588169,126.9518785,98.39388007,343.8922308
695,-525,871.0051665,70.02008825,127.5787091,98.79939865,343.9639211
695,-520,868.000576,70.21071463,128.2208249,99.21576974,344.0573646
695,-515,865.0144507,70.40769492,128.8754133,99.64155411,344.1701992
695,-510,862.0469825,70.61111653,129.5422669,100.0766917,344.3023631
695,510,862.0469825,70.61111653,129.5422669,100.0766917,344.3023631
695,515,865.0144507,70.40769492,128.8754133,99.64155411,344.1701992
695,520,868.000576,70.21071463,128.2208249,99.21576974,344.0573646
695,525,871.0051665,70.02008825,127.5787091,98.79939865,343.9639211
695,530,874.0280316,69.83588169,126.9518785,98.39388007,343.8922308
695,535,877.0689825,69.65776393,126.3398897,97.9988268,343.8416101
695,540,880.1278316,69.48560072,125.7412972,97.61344894,343.8107043
695,545,883.2043931,69.31897087,125.1543427,97.23665679,343.7976589
695,550,886.2984825,69.15817629,124.5923057,96.875241,343.8137615
695,555,889.4099167,69.00296875,124.0441868,96.52357777,343.8495969
695,560,892.5385146,68.85277206,123.5100007,96.18138637,343.9046607
695,565,895.6840961,68.70747271,122.9847137,95.8460932,343.9746251
695.728829,-568.0798729,898.194492,68.57348301,122.5633929,95.56843794,344.0136723
695.728829,-509.437471,862.3022326,70.58272906,129.5059599,100.0443445,344.2994692
695.728829,509.437471,862.3022326,70.58272906,129.5059599,100.0443445,344.2994692
695.728829,568.0798729,898.194492,68.57348301,122.5633929,95.56843794,344.0136723
698.1383585,-571.327158,902.1152305,68.3317964,121.9030515,95.11742393,344.0456862
698.1383585,-507.9896797,863.3948589,70.47234501,129.3302261,99.90128557,344.2794221
698.1383585,507.9896797,863.3948589,70.47234501,129.3302261,99.90128557,344.2794221
