suite=detour  cases=250  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
baseline_v300           250/250     7727.0         --      --       --   389.0
detour_plain            250/250     8000.3     +273.3    36.8   +3.54%   400.7
detour_b0               250/250     8000.3     +273.3    36.8   +3.54%   400.7
detour_b300             250/250     8004.4     +277.4    40.9   +3.59%   411.5
detour_b700             250/250     7813.5      +86.5    43.6   +1.12%   419.5
ramp300                 250/250     7781.5      +54.5    16.5   +0.70%   390.2
ramp700                 250/250     7516.4     -210.7    33.6   -2.73%   400.1
ramp1400                250/250     7362.9     -364.1    36.6   -4.71%   405.7
