suite=verify_bias  cases=300  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
v0                      300/300     7864.9         --      --       --   389.4
v-100                   300/300     7854.3      -10.6    15.5   -0.13%   391.0
v-200                   300/300     7791.4      -73.5    19.6   -0.94%   390.9
v-300                   300/300     7725.9     -139.0    25.1   -1.77%   388.7
v-400                   300/300     7667.0     -197.9    26.2   -2.52%   387.3
v-500                   300/300     7394.6     -470.3    33.0   -5.98%   399.7
v-700                   300/300     7332.4     -532.5    33.0   -6.77%   405.5
v-900                   300/300     7347.6     -517.3    33.7   -6.58%   406.0
