suite=verify_bias  cases=300  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
v0                      300/300     7453.2         --      --       --   342.4
v-100                   300/300     7401.2      -52.0    14.0   -0.70%   342.4
v-200                   300/300     7334.0     -119.2    19.2   -1.60%   341.3
v-300                   300/300     7254.8     -198.4    25.1   -2.66%   340.1
v-400                   300/300     7214.2     -239.0    28.1   -3.21%   340.4
v-500                   300/300     7033.8     -419.3    31.7   -5.63%   336.1
v-700                   300/300     6956.6     -496.6    35.3   -6.66%   336.8
v-900                   300/300     6970.3     -482.9    35.4   -6.48%   337.0
