R_m,h_R_m,a_star_m,b_star_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,cost_s,lambda,candidate_points,min_constraint_slack_m,audit_upper_m,run_output
500.0,8.727532464108792,297.0,180.25818570826812,347.42195312737,20.73086188969308,33.33067813947888,34.95004837220383,27.03077001458598,133.6086577004986,10.93647481058083,2178,1.8025818570826857,35.07223453666931,C:\Users\ASUS\Desktop\math\prob 2new\outputs\parametric_R0500p00
750.0,13.09129869616319,445.0,267.3829754672644,519.151861760822,31.117349167405422,50.204547559528244,52.71199972164772,40.66094836346683,193.04328607913368,10.35550289852968,1856,0.0,52.86614730895152,C:\Users\ASUS\Desktop\math\prob 2new\outputs\parametric_R0750p00
1000.0,17.455064928217585,593.75,356.76099254761397,692.6885795966025,41.432359756300144,66.82288216374808,70.14700582213065,54.12762096002411,262.8887744949128,11.024968071637485,1244,0.0,70.38842652480189,C:\Users\ASUS\Desktop\math\prob 2new\outputs\parametric_R1000p00
1250.0,21.818831160271984,668.0,437.0,798.2436971251324,55.39273732165569,93.92842912744248,98.25808936430606,74.66058322454909,293.89126333184606,8.655338488189274,658,35.625106489589655,99.12567768659368,C:\Users\ASUS\Desktop\math\prob 2new\outputs\parametric_R1250p00
1500.0,26.18259739232638,770.0,525.0,931.9468868986044,68.25366070973524,117.16743117013698,122.92436213472612,92.71054593993611,334.08560965524515,7.695792901919276,220,60.18915071755453,123.53603826748115,C:\Users\ASUS\Desktop\math\prob 2new\outputs\parametric_R1500p00
