x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
700,-545,887.1442949,35.41682529,44.69157483,40.05420006,261.7042611
700,-540,884.0814442,35.37216055,44.75147121,40.06181588,261.1067642
700,-535,881.0363216,35.32949708,44.8157024,40.07259974,260.5190831
700,-530,878.0091116,35.28894406,44.88439144,40.08666775,259.9414846
700,-525,875,35.25051828,44.95726668,40.10389248,259.3737535
700,-520,872.0091743,35.21423461,45.03401986,40.12412723,258.815637
700,-515,869.0368232,35.18023084,45.11556834,40.14789959,258.2682171
700,-510,866.0831369,35.14845593,45.20205358,40.17525476,257.7316213
700,510,866.0831369,35.1821051,45.20205358,40.19207934,257.7649206
700,515,869.0368232,35.21413277,45.11556834,40.16485055,258.3017665
700,520,872.0091743,35.24851335,45.03401986,40.1412666,258.8495593
700,525,875,35.28518319,44.95726668,40.12122493,259.4080579
700,530,878.0091116,35.32400295,44.88439144,40.10419719,259.9761789
700,535,881.0363216,35.36495763,44.8157024,40.09033002,260.5541749
700,540,884.0814442,35.40803028,44.75147121,40.07975075,261.1422609
700,545,887.1442949,35.4531661,44.69157483,40.07237046,261.740224
700,550,890.2246907,35.50031227,44.63589474,40.06810351,262.347858
700,555,893.3224502,35.5494179,44.5843167,40.0668673,262.9649632
700,560,896.4373932,35.60043389,44.53673058,40.06858223,263.591346
700,565,899.5693414,35.65331289,44.49303014,40.07317152,264.2268187
700,570,902.7181177,35.7080092,44.45311292,40.08056106,264.8711994
700.5478879,-574.5472258,906.0197889,35.7485023,44.46156165,40.10503198,265.5799666
700.5478879,-506.5418884,864.4952446,35.16010506,45.31143343,40.23576924,257.5338133
700.5478879,506.5418884,864.4952446,35.19394905,45.31143343,40.25269124,257.5673054
700.5478879,574.5472258,906.0197889,35.78830491,44.46156165,40.12493328,265.6193553
702.9574173,-577.7405115,909.9083631,35.91047618,44.62201751,40.26624685,266.6767584
702.9574173,-505.094097,865.6033603,35.29452062,45.54460294,40.41956178,258.1191992
702.9574173,505.094097,865.6033603,35.32990864,45.54460294,40.43725579,258.1542193
702.9574173,577.7405115,909.9083631,35.95240581,44.62201751,40.28721166,266.718252
705,-580,912.9211357,36.04282884,44.76118634,40.40200759,267.548011
705,-575,909.7527137,35.98741367,44.79711511,40.39226439,266.8950428
705,-570,906.6007942,35.9337593,44.83669086,40.38522508,266.2507267
705,-565,903.46555,35.88185898,44.88001061,40.3809348,265.6151865
705,-560,900.3471553,35.83171462,44.92717488,40.37944475,264.9885585
705,-555,897.2457857,35.78346711,44.9782878,40.38087745,264.3711202
705,-550,894.1616185,35.73716488,45.03345733,40.3853111,263.7630618
705,-545,891.0948322,35.69279233,45.09213696,40.39246465,263.1638629
705,-540,888.0456069,35.6504275,45.15470258,40.40256504,262.5740086
705,-535,885.0141242,35.61015881,45.22161827,40.41588854,261.9940819
705,-530,882.0005669,35.57204218,45.29300749,40.43252483,261.4242971
705,-525,879.0051194,35.53612637,45.36899839,40.45256238,260.864866
705,-520,876.0279676,35.50243503,45.44972411,40.47607957,260.3159809
705,-515,873.0692985,35.47107756,45.53532296,40.50320026,259.7779244
705,-510,870.1293007,35.44211913,45.62593869,40.53402891,259.250941
705,-505,867.2081642,35.41557654,45.7217208,40.56864867,258.7352333
705,505,867.2081642,35.45233382,45.7217208,40.58702731,258.7716083
705,510,870.1293007,35.47916551,45.62593869,40.5525521,259.2876022
705,515,873.0692985,35.50847267,45.53532296,40.52189782,259.8149307
705,520,876.0279676,35.54018736,45.44972411,40.49495574,260.3533407
705,525,879.0051194,35.57424423,45.36899839,40.47162131,260.9025875
705,530,882.0005669,35.61058042,45.29300749,40.45179395,261.4624346
705,535,885.0141242,35.64913545,45.22161827,40.43537686,262.0326533
705,540,888.0456069,35.68985109,45.15470258,40.42227684,262.6130222
705,545,891.0948322,35.73267125,45.09213696,40.41240411,263.2033271
705,550,894.1616185,35.77750737,45.03345733,40.40548235,263.8029848
705,555,897.2457857,35.82428122,44.9782878,40.40128451,264.4115099
705,560,900.3471553,35.87300828,44.92717488,40.40009158,265.0294228
705,565,903.46555,35.92363996,44.88001061,40.40182529,265.6565331
705,570,906.6007942,35.97612937,44.83669086,40.40641012,266.2926562
705,575,909.7527137,36.03043123,44.79711511,40.41377317,266.9376131
705,580,912.9211357,36.08650185,44.76118634,40.42384409,267.5912299
705.3669468,-580.9074377,913.7811449,36.07226696,44.78278868,40.42752782,267.7705226
705.3669468,-503.6463057,866.7191765,35.43076366,45.7801996,40.60548163,258.7103357
705.3669468,503.6463057,866.7191765,35.46770914,45.7801996,40.62395437,258.746897
705.3669468,580.9074377,913.7811449,36.11631927,44.78278868,40.44955397,267.8141168
707.7764762,-584.0484149,917.6383227,36.23387594,44.94385967,40.5888678,268.8612827
707.7764762,-502.1985143,867.8426632,35.56885248,46.01824455,40.79354852,259.3072556
707.7764762,502.1985143,867.8426632,35.60736905,46.01824455,40.8128068,259.3453716
707.7764762,584.0484149,917.6383227,36.28004666,44.94385967,40.61195316,268.9069734
710,-585,919.9592382,36.36121222,45.10551961,40.73336592,269.611457
710,-580,916.7878708,36.30618293,45.14114935,40.72366614,268.9579857
710,-575,913.6328584,36.25290985,45.18038946,40.71664966,268.3130962
710,-570,910.4943712,36.20137441,45.22271762,40.71204602,267.6762872
710,-565,907.3725806,36.1516604,45.2686235,40.71014195,267.0481605
710,-560,904.2676595,36.10376207,45.31838701,40.71107454,266.4290221
710,-555,901.1797823,36.05772413,45.37211265,40.71491839,265.8190544
710,-550,898.1091248,36.01366966,45.42990871,40.72178919,265.2185216
710,-545,895.0558642,35.97165004,45.49188752,40.73176878,264.6276211
710,-540,892.0201791,35.93171854,45.55816555,40.74494204,264.0465567
710,-535,889.0022497,35.89393046,45.62886365,40.76139706,263.4755386
710,-530,886.0022573,35.85834318,45.70410728,40.78122523,262.9147841
710,-525,883.0203848,35.82501628,45.78402665,40.80452147,262.3645176
710,-520,880.0568163,35.79401166,45.86875706,40.83138436,261.824971
710,-515,877.1117375,35.76539364,45.95843904,40.86191634,261.2963843
710,-510,874.185335,35.73922909,46.05321867,40.89622388,260.7790054
710,-505,871.2777973,35.71553778,46.15324786,40.93439282,260.2730419
710,505,871.2777973,35.75581607,46.15324786,40.95453197,260.3129014
710,510,874.185335,35.77982719,46.05321867,40.91652293,260.8191813
710,515,877.1117375,35.80637117,45.95843904,40.8824051,261.3369357
710,520,880.0568163,35.83537826,45.86875706,40.85206766,261.8659075
710,525,883.0203848,35.86678138,45.78402665,40.82540402,262.4058484
710,530,886.0022573,35.90051603,45.70410728,40.80231165,262.9565184
710,535,889.0022497,35.93652013,45.62886365,40.78269189,263.5176854
710,540,892.0201791,35.97473391,45.55816555,40.76644973,264.0891248
710,545,895.0558642,36.0150998,45.49188752,40.75349366,264.6706191
710,550,898.1091248,36.05756237,45.42990871,40.74373554,265.2619579
710,555,901.1797823,36.10206815,45.37211265,40.7370904,265.8629373
710,560,904.2676595,36.1485656,45.31838701,40.73347631,266.4733597
710,565,907.3725806,36.19700503,45.2686235,40.73281426,267.0930336
710,570,910.4943712,36.24733845,45.22271762,40.73502804,267.7217733
710,575,913.6328584,36.29950167,45.18038946,40.73994556,268.3592035
710,580,916.7878708,36.35341074,45.14114935,40.74728005,269.0047224
710,585,919.9592382,36.40908411,45.10551961,40.75730186,269.6588311
710.1860056,-587.1638416,921.4800809,36.39530453,45.10521591,40.75026022,269.9490628
710.1860056,-500.750723,868.9737908,35.70870957,46.25875923,40.9837344,259.9098976
710.1860056,500.750723,868.9737908,35.7489071,46.25875923,41.00383316,259.9496772
710.1860056,587.1638416,921.4800809,36.44358946,45.10521591,40.77440269,269.9968456
712.595535,-590.2541054,925.3066008,36.55655426,45.26684364,40.91169895,271.0338868
