x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,pareto
500.0,350.0,610.3277807866851,24.506215591941242,33.30128489213126,36.372152744734514,28.90375024203625,0
525.0,350.0,630.9714732061981,25.953546150695857,35.64912603571079,38.90576233777205,30.801336093203325,0
550.0,350.0,651.9202405202649,27.532513774472086,38.11544638792163,41.32197612356611,32.82398008119686,0
575.0,350.0,673.145600891813,29.239282001418907,40.66021471640614,44.08169003858778,34.94974835891252,0
0.0,375.0,375.0,36.97252684385746,55.48171201553034,57.157497345351246,46.2271194296939,0
25.0,375.0,375.8324094593227,35.03884334930311,52.660302292494144,54.286824308849084,43.84957282089863,0
50.0,375.0,378.3186487605389,33.212835036978305,49.93299682047901,51.565615485622835,41.57291592872866,0
75.0,375.0,382.4264635194589,31.50392263407135,47.418157610849214,48.81169623407602,39.46104012246028,0
100.0,375.0,388.1043674065006,29.903283725897676,45.03646440448729,46.316221089648,37.469874065192485,0
125.0,375.0,395.28470752104744,28.416353861512505,42.719677385181555,43.91073510078401,35.56801562334703,0
150.0,375.0,403.8873605350878,27.058394727643293,40.517061315955694,41.69393213473426,33.787728021799495,0
175.0,375.0,413.82363393117123,25.830778405301913,38.374076196718306,39.45447835407301,32.10242730101011,0
200.0,375.0,425.0,24.727505153075807,36.298309491294425,37.208770320481186,30.512907322185114,0
225.0,375.0,437.3213921133975,23.76457031020869,34.39561348814461,35.44017635956008,29.08009189917665,0
250.0,375.0,450.6939094329987,22.929071368676887,32.530143919442445,33.53874469326486,27.729607644059666,0
275.0,375.0,465.02688094345683,22.231047155311952,30.774004336281454,31.795467626353954,26.502525745796703,0
300.0,375.0,480.23431780746364,21.70128776363522,29.15806198438951,29.99673685840099,25.429674874012363,0
325.0,375.0,496.2358310319802,21.36474796858993,27.75240712120726,28.65819149767501,24.558577544898597,0
350.0,375.0,512.9571132170797,21.201247659989516,26.46537151949077,27.2752736707419,23.833309589740143,0
375.0,375.0,530.3300858899106,21.244267066130856,25.39670631281126,26.07844926346432,23.32048668947106,0
400.0,375.0,548.2928049865327,21.487931341708464,25.49840562700191,27.363144135162642,23.493168484355188,0
425.0,375.0,566.7892024377317,21.928537699573123,26.914701303954452,29.252727870644158,24.421619501763786,0
450.0,375.0,585.768725692999,22.605456633969148,28.752516331979685,31.26058666065319,25.678986482974416,0
475.0,375.0,605.1859218455102,23.51711865472705,30.70796521095032,33.38683893926123,27.112541932838685,0
500.0,375.0,625.0,24.71048792431509,32.781058691186225,35.63160259720484,28.745773307750657,0
525.0,375.0,645.174395028197,26.070365194405532,34.971794745891856,37.9949952745241,30.521079970148694,0
550.0,375.0,665.6763477847173,27.55147063448527,37.28016348021869,40.477134576928975,32.41581705735198,0
575.0,375.0,686.476510887299,29.15033131413145,39.6675727881393,42.81259514489581,34.40895205113537,0
600.0,375.0,707.5485849042453,30.871984089666817,42.15717767061079,45.53892853889518,36.51458088013881,0
0.0,400.0,400.0,36.512121545450604,54.015080843364615,55.53294699150105,45.26360119440761,0
25.0,400.0,400.7804885470349,34.69585970489944,51.33299990185749,52.872453821915826,43.01442980337846,0
50.0,400.0,403.11288741492746,32.98530284109126,48.81753976292311,50.32938974623164,40.901421302007186,0
75.0,400.0,406.97051490249265,31.383663474285996,46.473433000312,47.93633183766188,38.928548237299,0
100.0,400.0,412.31056256176606,29.88050752954483,44.217414438035405,45.56884362004125,37.04896098379012,0
125.0,400.0,419.0763653560052,28.48496418846396,42.06153582613304,43.281432223828425,35.2732500072985,0
150.0,400.0,427.20018726587654,27.211625991244365,40.032311824939946,41.12456193795022,33.62196890809216,0
175.0,400.0,436.6062299143245,26.053465965076953,37.9777099419923,39.00147699626594,32.01558795353463,0
200.0,400.0,447.21359549995793,25.017305516710625,36.05558425196951,36.87312614224106,30.53644488434007,0
225.0,400.0,458.93899376714546,24.10921174068399,34.24964745671884,35.227135852072976,29.179429598701415,0
250.0,400.0,471.6990566028302,23.319903246018676,32.487913838365536,33.4113306011755,27.903908542192106,0
275.0,400.0,485.41219597368996,22.661179733666934,30.83883160840903,31.801591161434143,26.750005671037982,0
300.0,400.0,500.0,22.160252310370403,29.308129662324337,30.117976782466464,25.73419098634737,0
325.0,400.0,515.3882032022076,21.840728698416356,27.98978221414128,28.574395490054343,24.915255456278818,0
350.0,400.0,531.5072906367325,21.683467819964488,26.7800510230114,27.596844745957764,24.231759421487943,0
375.0,400.0,548.2928049865327,21.718702302330858,25.71328729125197,26.410557148137904,23.715994796791414,0
400.0,400.0,565.685424949238,21.946741026198467,25.70370157749732,27.3449064691014,23.825221301847893,0
425.0,400.0,583.6308764964376,22.359901756616402,26.935432080756506,29.115860736059243,24.647666918686454,0
450.0,400.0,602.0797289396148,22.996192523988043,28.658311343130098,30.9975806873211,25.82725193355907,0
475.0,400.0,620.987117418711,23.855144173278333,30.491345337691104,32.99017143372795,27.173244755484717,0
500.0,400.0,640.3124237432849,24.982822829907846,32.43456020436115,35.09373740029763,28.708691517134497,0
525.0,400.0,660.0189391222043,26.26638288399278,34.4879682353163,37.30838259630896,30.37717555965454,0
550.0,400.0,680.0735254367721,27.66164892396091,36.651572197815504,39.634210824977345,32.15661056088821,0
575.0,400.0,700.446286306095,29.167293522297822,38.90588829347629,41.81473671378637,34.03659090788705,0
600.0,400.0,721.1102550927978,30.784006282227892,41.23928856669581,44.36770679502148,36.011647424461856,0
