x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,pareto
770.0,470.0,902.1086409075128,39.8774273735134,52.89164853716778,58.67758055468145,46.38453795534059,0
780.0,470.0,910.659101969557,40.63529757271694,53.92777962774794,59.82214543904241,47.28153860023244,0
750.0,480.0,890.4493247793498,38.364797822755435,50.505260482020574,55.94455137119162,44.435029152388005,0
760.0,480.0,898.8882021697693,39.07601331582068,51.490442162392995,57.03445277000011,45.283227739106835,0
770.0,480.0,907.3588044428731,39.80292426553722,52.49019721291295,58.139536989817195,46.14656073922509,0
780.0,480.0,915.8602513484249,40.54487401483179,53.50462917965419,59.25981279201039,47.02475159724299,0
790.0,480.0,924.3916918709298,41.30147404112308,54.53367544478548,60.39528894910049,47.91757474295428,0
730.0,490.0,879.2041856133307,36.986885293009536,48.30096680041212,53.39878505947197,42.64392604671083,0
740.0,490.0,887.5246475450696,37.65329652887619,49.229435062220894,54.43636076980059,43.44136579554854,0
750.0,490.0,895.8794561770015,38.334971425182175,50.174997571826815,55.48877971393325,44.2549844985045,0
760.0,490.0,904.267659490264,39.03193714067161,51.13997390946435,56.55605027550003,45.08595552506798,0
770.0,490.0,912.6883367283708,39.744130347990136,52.119223393277814,57.6381808473125,45.93167687063398,0
780.0,490.0,921.1405973031478,40.47083535050372,53.11285110454646,58.73517983174658,46.79184322752509,0
790.0,490.0,929.6235797353679,41.211980003711616,54.1207854376718,59.84705564108165,47.66638272069171,0
800.0,490.0,938.1364506296512,41.96788418667987,55.13897757327109,60.90023113267676,48.55343087997548,0
810.0,490.0,946.6784036831093,42.73754761765623,56.17248215418817,61.94365146753711,49.455014885922196,0
720.0,500.0,876.584280032445,36.358226641891775,47.14079477633384,52.01613844332807,41.74951070911281,0
730.0,500.0,884.8163651289458,36.99686746800956,48.03675801544818,53.01809806251791,42.51681274172887,0
740.0,500.0,893.0845424706442,37.650370754800505,48.94657315140089,54.034584151363724,43.2984719531007,0
750.0,500.0,901.3878188659974,38.31876955962797,49.87173621849481,55.06560475195972,44.095252889061385,0
760.0,500.0,909.7252332435327,39.00209234827936,50.81732159767784,56.111167913877054,44.9097069729786,0
770.0,500.0,918.0958555619343,39.70009315881063,51.776891843812855,57.1712816946354,45.73849250131174,0
780.0,500.0,926.4987857520375,40.412171997477,52.75055608580242,58.24595416012029,46.581364041639716,0
790.0,500.0,934.9331526906082,41.13861406270607,53.73822913463481,59.335193384948994,47.43842159867044,0
800.0,500.0,943.3981132056604,41.879832979859955,54.73989049523901,60.43900745279056,48.30986173754948,0
810.0,500.0,951.8928511129811,42.6341385936624,55.752085367640106,61.491377142053516,49.19311198065125,0
820.0,500.0,960.4165762834375,43.401498823664625,56.77235052514031,62.52699140099056,50.08692467440247,0
830.0,500.0,968.9685237405805,44.18285439680325,57.80135162465412,63.684702565504104,50.992103010728684,0
700.0,510.0,866.083136886985,35.18210509675818,45.20205357970522,49.80799828296707,40.1920793382317,0
710.0,510.0,874.1853350405736,35.779827189095094,46.053218670090786,50.71657300641474,40.916522929592944,0
720.0,510.0,882.3264701911645,36.39197744936996,46.91796279254368,51.68435889022938,41.65497012095682,0
730.0,510.0,890.5054744357275,37.0185990603603,47.79628501734945,52.66636766894277,42.407442038854875,0
740.0,510.0,898.7213138676527,37.65973045967641,48.68818435979188,53.66260706648595,43.17395740973414,0
750.0,510.0,906.9729874698585,38.31540552955817,49.593882560185044,54.673084812540594,43.95464404487161,0
760.0,510.0,915.2595260361949,38.985653796530606,50.52084326133299,55.69780864309794,44.7532485289318,0
770.0,510.0,923.5799911215054,39.66995827574605,51.46151179719229,56.7367863009536,45.565735036469164,0
780.0,510.0,931.933474020544,40.36807816851899,52.41600353604266,57.790025536150395,46.39204085228083,0
790.0,510.0,940.3190947758106,41.080431305331714,53.38421571290823,58.85753410637165,47.23232350911997,0
800.0,510.0,948.7360012142472,41.80707598351566,54.36613929536402,59.939319777286,48.08660763943984,0
810.0,510.0,957.183368012629,42.54678054041828,55.36032291530649,60.96326107591287,48.95355172786239,0
820.0,510.0,965.6603957913983,43.299607802088175,56.36704985354858,61.981028325656446,49.83332882781838,0
830.0,510.0,974.1663102366043,44.06560659194857,57.375621970174514,63.1153084846701,50.72061428106154,0
840.0,510.0,982.700361249552,44.845259313762085,58.39385049796641,64.14660155706916,51.61955490586425,0
680.0,520.0,856.0373823613079,34.11511155281225,43.38701722523772,48.02965746743628,38.75106438902499,0
690.0,520.0,864.002314811714,34.67489195556111,44.20460591192753,48.945656789356924,39.43974893374432,0
700.0,520.0,872.0091742636656,35.24851334671145,45.0340198591427,49.74459902298667,40.141266602927075,0
710.0,520.0,880.056816347672,35.83537825514372,45.86875705762352,50.43016323955984,40.852067656383625,0
720.0,520.0,888.1441324469807,36.43633376795381,46.716808674128146,51.37906366525385,41.57657122104098,0
730.0,520.0,896.2700485902673,37.05142316060373,47.57817395984954,52.3419032169383,42.314798560226635,0
740.0,520.0,904.4335243676011,37.680685235859144,48.452852102640435,53.31868932596231,43.06676866924979,0
750.0,520.0,912.6335518706289,38.324154490808574,49.34084223835613,54.30942942832832,43.83249836458235,0
760.0,520.0,920.8691546577071,38.98185027524392,50.24902371701822,55.314130965266095,44.615436996131066,0
770.0,520.0,929.1393867445294,39.653007893264494,51.171527929247716,56.33280138375026,45.41226791125611,0
780.0,520.0,937.4433316206372,40.337721300611776,52.10758725815778,57.36544813696362,46.22265427938478,0
790.0,520.0,945.7801012920498,41.03656134344441,53.0570926096417,58.412078684710366,47.04682697654306,0
800.0,520.0,954.1488353501251,41.749135594178824,54.02004306914618,59.47270049378605,47.884589331662504,0
810.0,520.0,962.5487000666511,42.47486630499947,54.99692179743352,60.49897048468314,48.7358940512165,0
820.0,520.0,970.9788875150684,43.21330068008271,55.98610540729196,61.57137340106782,49.599703043687335,0
830.0,520.0,979.4386147176351,43.965005181452554,56.979404788407486,62.58206316302617,50.472204984930016,0
840.0,520.0,987.9271228182776,44.730009168525555,57.98196932522607,63.708313866354594,51.35598924687581,0
850.0,520.0,996.4436762808022,45.50796667111972,58.98647171044784,64.72433273256884,52.24721919078378,0
670.0,530.0,854.2833253669418,33.67401822754712,42.47804982158617,46.92793608912713,38.076034024566646,0
680.0,530.0,862.1484790916237,34.21036784978698,43.26695724812844,47.81257260052415,38.738662548957706,0
690.0,530.0,870.0574693662483,34.760343887200065,44.06907118325633,48.71098666480358,39.414707535228196,0
700.0,530.0,878.0091115700337,35.32400295099747,44.884391437560076,49.62318768902005,40.10419719427877,0
710.0,530.0,886.0022573334675,35.90051603396886,45.704107275932806,50.16799577401133,40.802311654950834,0
720.0,530.0,894.035793466906,36.490719032613754,46.5361016016446,51.09873624091631,41.51341031712918,0
730.0,530.0,902.1086409075128,37.09473328137233,47.3811551019535,52.04314314654327,42.23794419166292,0
740.0,530.0,910.2197536858888,37.71259777429191,48.23926712895879,53.00122364680889,42.97593245162535,0
750.0,530.0,918.3681179135086,38.34434743808456,49.11043697532767,53.9729849012721,43.727392206706114,0
760.0,530.0,926.5527507918802,38.98971593505715,50.00046257098892,54.95843407372286,44.49508925302304,0
770.0,530.0,934.7726996441435,39.64835882124853,50.90550263834263,55.95757833271432,45.27693072979558,0
780.0,530.0,943.0270409696639,40.32033317447111,51.823822732912724,56.97042485204335,46.07207795369192,0
790.0,530.0,951.3148795220224,41.006162409002144,52.75533244384469,57.99698081118294,46.88074742642341,0
800.0,530.0,959.6353474106714,41.705014989081505,53.70003097637179,59.0372533956687,47.70252298272665,0
810.0,530.0,967.987603226405,42.41702623982473,54.65791752531311,60.091249797446416,48.53747188256892,0
820.0,530.0,976.3708311906905,43.14195290717706,55.630704608137144,61.089023428318306,49.3863287576571,0
830.0,530.0,984.7842403288143,43.880099988493434,56.611112150481084,62.082872910642024,50.24560606948726,0
840.0,530.0,993.2270636667126,44.630647511524955,57.59458051713191,63.187212942436794,51.11261401432843,0
680.0,540.0,868.3317338436964,34.31356439636856,43.16407820316499,47.61674031778668,38.73882129976678,0
690.0,540.0,876.184911990614,34.85410957915615,43.951295757925294,48.49823474524487,39.40270266854073,0
700.0,540.0,884.0814442120137,35.40803028353774,44.751471209243284,49.39324934054398,40.079750746390516,0
710.0,540.0,892.0201791439474,35.97473390726229,45.55816554789942,49.9287087033686,40.766449727580856,0
720.0,540.0,900.0,36.554599923644254,46.37470230722104,50.84197370766697,41.464651115432645,0
730.0,540.0,908.0198235721509,37.147968541523596,47.204053140250764,51.76864290878851,42.17601084088718,0
740.0,540.0,916.078599247903,37.75487879441134,48.04621755490336,52.70872320301872,42.900548174657345,0
750.0,540.0,924.1753080449618,38.375365875623274,48.90119499315854,53.6622214893585,43.63828043439091,0
760.0,540.0,932.3089616645332,39.0088524473767,49.77386356151102,54.62914467012237,44.39135800444386,0
770.0,540.0,940.4786015641185,39.65543017367086,50.662092921268496,55.609499651482835,45.15876154746968,0
780.0,540.0,948.6832980505138,40.31520378741355,51.56333582185212,56.603293343962335,45.939269804632836,0
