x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,pareto
770.0,470.0,902.1086409075128,67.29175158889812,123.31978757755151,130.794916025787,95.30576958322482,0
780.0,470.0,910.659101969557,66.68659615298579,121.77879273608806,129.0175686355233,94.23269444453692,0
750.0,480.0,890.4493247793498,68.13221967845867,125.04374041377591,132.2331403753375,96.58798004611728,0
760.0,480.0,898.8882021697693,67.4980763004157,123.51937248478539,130.86652799867454,95.50872439260056,0
770.0,480.0,907.3588044428731,66.88415825168934,122.00154275225525,129.23583963058692,94.44285050197229,0
780.0,480.0,915.8602513484249,66.29251701888428,120.48909409578665,127.41429629742609,93.39080555733547,0
790.0,480.0,924.3916918709298,65.72171296434374,118.98801916852426,126.07949186764037,92.354866066434,0
730.0,490.0,879.2041856133307,69.03124966200777,126.81584953597911,134.46977237679917,97.92354959899345,0
740.0,490.0,887.5246475450696,68.36855090468842,125.24314490717887,132.4913232368483,96.80584790593365,0
750.0,490.0,895.8794561770015,67.72691918887347,123.73248297706587,130.94824639436894,95.72970108296967,1
760.0,490.0,904.267659490264,67.10559707678566,122.23724964723554,129.47122626620362,94.6714233620106,1
770.0,490.0,912.6883367283708,66.50461859792274,120.74402449879469,127.67276544524653,93.62432154835872,0
780.0,490.0,921.1405973031478,65.92541490436128,119.26475901891801,126.36943367617667,92.59508696163965,0
790.0,490.0,929.6235797353679,65.36519428258832,117.78169120937774,124.52493960266007,91.57344274598303,0
800.0,490.0,938.1364506296512,64.82747503364364,116.32027691787397,123.12422634095587,90.5738759757588,0
810.0,490.0,946.6784036831093,64.31019318954529,114.87577541314228,121.4993518499556,89.59298430134379,0
720.0,500.0,876.584280032445,69.29185754600553,127.01750223935831,134.39485984919736,98.15467989268191,0
730.0,500.0,884.8163651289458,68.62481992184928,125.45895531034694,132.76655001679865,97.04188761609811,1
740.0,500.0,893.0845424706442,67.97692682238413,123.96046606505087,131.0394847735274,95.9686964437175,1
750.0,500.0,901.3878188659974,67.34819353812878,122.48515758863337,129.72273590814015,94.91667556338108,1
760.0,500.0,909.7252332435327,66.73939629838881,121.010352716925,127.94640403934756,93.8748745076569,1
770.0,500.0,918.0958555619343,66.15126939490968,119.5503835594629,126.5201469456418,92.85082647718629,1
780.0,500.0,926.4987857520375,65.58225617349791,118.08722623467266,125.01794918048024,91.83474120408528,1
790.0,500.0,934.9331526906082,65.03401993475994,116.63576626251567,123.35344022571131,90.8348930986378,0
800.0,500.0,943.3981132056604,64.50800314703305,115.20972612477398,121.92360893904788,89.85886463590352,0
810.0,500.0,951.8928511129811,64.00223486982475,113.80797104962015,120.45617192449598,88.90510295972246,0
820.0,500.0,960.4165762834375,63.51562792475435,112.42218245082621,118.86952417023711,87.96890518779028,0
830.0,500.0,968.9685237405805,63.05099769460677,111.05392719172121,117.14706142501244,87.05246244316399,0
700.0,510.0,866.083136886985,70.25921404124439,128.7738789430387,136.32622522483103,99.51654649214154,1
710.0,510.0,874.1853350405736,69.57020700695912,127.23226136179657,134.54008597583191,98.40123418437784,1
720.0,510.0,882.3264701911645,68.89912307879794,125.69444785709769,133.05783326353335,97.29678546794781,1
730.0,510.0,890.5054744357275,68.24616096701911,124.20219970853273,131.14889284878853,96.22418033777592,1
740.0,510.0,898.7213138676527,67.61124820855633,122.74457051099502,129.98945352192447,95.17790935977567,1
