multiplier,weight,x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,cost_s
0.25,2.0845633943386273,666.8144759063352,526.8109671640482,849.8066488340512,71.94889784189267,131.58358363568897,139.30210324440057,101.76624073879083,217.38896581151738
0.5,4.1691267886772545,666.8144759063352,526.8109671640482,849.8066488340512,71.94889784189267,131.58358363568897,139.30210324440057,101.76624073879083,259.81660185622457
1.0,8.338253577354509,764.0,526.0,927.5623968229846,65.67281925533538,117.4992634409762,124.01871072181169,91.58604134815579,343.2460067459965
2.0,16.676507154709018,852.0,523.5417843878366,1000.0,61.55694677373194,105.9504007180347,111.67909696499133,83.75367374588332,484.3437478912776
4.0,33.353014309418036,852.0,523.5417843878366,1000.0,61.55694677373194,105.9504007180347,111.67909696499133,83.75367374588332,763.6874957825552
